iter	Passed	Remaining
0	2	2424
1	4	2425
2	6	2285
3	9	2297
4	11	2238
5	13	2228
6	15	2184
7	17	2169
8	19	2152
9	21	2135
10	23	2094
11	25	2096
12	27	2088
13	29	2092
14	32	2101
15	34	2124
16	36	2137
17	38	2124
18	40	2113
19	43	2107
20	45	2103
21	47	2098
22	49	2088
23	51	2090
24	53	2093
25	55	2089
26	57	2087
27	59	2082
28	62	2081
29	64	2069
30	65	2062
31	68	2060
32	70	2070
33	73	2074
34	75	2071
35	77	2063
36	78	2054
37	80	2046
38	82	2043
39	84	2038
40	87	2037
41	89	2035
42	91	2036
43	93	2029
44	95	2025
45	97	2020
46	99	2010
47	101	2008
48	103	2000
49	105	1995
50	106	1986
51	108	1979
52	110	1968
53	111	1959
54	113	1950
55	115	1939
56	116	1933
57	118	1925
58	120	1921
59	122	1915
60	124	1909
61	125	1903
62	127	1898
63	129	1892
64	131	1888
65	132	1881
66	134	1876
67	136	1871
68	138	1863
69	139	1856
70	141	1849
71	143	1845
72	144	1837
73	146	1833
74	148	1826
75	149	1820
76	151	1816
77	152	1807
78	154	1800
79	155	1792
80	157	1785
81	158	1778
82	160	1772
83	162	1767
84	163	1761
85	165	1756
86	166	1750
87	168	1744
88	169	1739
89	171	1732
90	173	1728
91	174	1721
92	175	1715
93	177	1709
94	178	1703
95	180	1698
96	181	1692
97	183	1687
98	184	1681
99	186	1676
100	187	1670
101	189	1666
102	190	1659
103	191	1652
104	193	1646
105	194	1640
106	195	1635
107	197	1628
108	198	1622
109	199	1617
110	201	1612
111	202	1606
112	203	1599
113	205	1593
114	206	1589
115	207	1584
116	209	1578
117	210	1573
118	211	1566
119	212	1561
120	214	1557
121	215	1552
122	216	1546
123	218	1542
124	219	1538
125	221	1533
126	222	1529
127	223	1523
128	225	1519
129	226	1514
130	227	1509
131	228	1505
132	230	1501
133	231	1497
134	233	1493
135	234	1489
136	235	1486
137	237	1481
138	238	1477
139	239	1473
140	241	1469
141	242	1465
142	243	1461
143	245	1457
144	246	1453
145	247	1450
146	249	1447
147	250	1442
148	251	1439
149	253	1434
150	254	1430
151	255	1427
152	257	1425
153	258	1421
154	260	1417
155	261	1414
156	262	1411
157	264	1407
158	265	1403
159	266	1400
160	267	1396
161	269	1391
162	270	1388
163	271	1385
164	273	1382
165	274	1378
166	275	1375
167	277	1371
168	278	1368
169	279	1365
170	280	1361
171	282	1359
172	283	1356
173	285	1353
174	286	1350
175	287	1347
176	289	1344
177	290	1341
178	291	1337
179	292	1334
180	294	1331
181	295	1329
182	296	1325
183	298	1323
184	299	1319
185	300	1315
186	301	1312
187	303	1309
188	304	1306
189	305	1302
190	306	1299
191	307	1295
192	309	1292
193	310	1288
194	311	1285
195	312	1282
196	313	1279
197	314	1275
198	316	1272
199	317	1268
200	318	1265
201	319	1262
202	320	1259
203	322	1256
204	323	1253
205	324	1250
206	325	1247
207	326	1244
208	328	1241
209	329	1239
210	330	1235
211	331	1233
212	332	1230
213	334	1227
214	335	1224
215	336	1221
216	337	1218
217	338	1215
218	339	1212
219	340	1208
220	342	1205
221	343	1202
222	344	1199
223	345	1197
224	346	1194
225	348	1192
226	349	1189
227	350	1186
228	351	1184
229	352	1181
230	354	1178
231	355	1175
232	356	1173
233	357	1170
234	358	1167
235	359	1164
236	361	1162
237	362	1159
238	363	1156
239	364	1153
240	365	1151
241	366	1148
242	367	1146
243	369	1143
244	370	1141
245	371	1139
246	372	1136
247	373	1133
248	375	1131
249	376	1128
250	377	1126
251	378	1124
252	379	1121
253	381	1119
254	382	1116
255	383	1114
256	384	1111
257	385	1109
258	386	1106
259	387	1104
260	389	1101
261	390	1099
262	391	1097
263	392	1095
264	393	1092
265	395	1090
266	396	1088
267	397	1085
268	398	1083
269	399	1081
270	401	1079
271	402	1076
272	403	1074
273	404	1072
274	406	1071
275	407	1069
276	408	1066
277	409	1064
278	411	1062
279	412	1059
280	413	1057
281	414	1055
282	415	1053
283	416	1050
284	417	1048
285	419	1046
286	420	1044
287	421	1041
288	422	1040
289	423	1038
290	425	1035
291	426	1033
292	427	1031
293	428	1028
294	429	1026
295	430	1024
296	431	1022
297	433	1020
298	434	1018
299	435	1016
300	436	1014
301	437	1012
302	439	1009
303	440	1007
304	441	1005
305	442	1003
306	443	1001
307	444	999
308	446	997
309	447	995
310	448	994
311	449	992
312	451	990
313	452	988
314	453	986
315	454	984
316	455	982
317	457	980
318	458	978
319	459	976
320	460	974
321	462	972
322	463	971
323	464	969
324	465	967
325	467	965
326	468	963
327	469	962
328	470	960
329	471	958
330	473	956
331	474	954
332	475	952
333	476	949
334	477	947
335	478	945
336	479	944
337	481	942
338	482	940
339	483	938
340	484	936
341	485	934
342	486	932
343	488	931
344	489	929
345	490	927
346	491	925
347	492	923
348	494	922
349	495	920
